Category,Brand,TTL Pos%,"vs_Max(Com,Cate)",Product_Pos%,"vs_Max(Com,Cate)",Product_Neg%,"vs_Min(Com,Cate)"
AIR CARE,Febreze,0.8481402967816535,-0.002408974177373735,0.8100066415762674,-0.002408974177373735,0.08434801859641355,-0.00909054855112286
APPLIANCES,Braun,0.8476633623305685,-0.06381386936836841,0.8316108389727327,-0.06381386936836841,0.15111702579494293,0.06677977096993827
BABY CARE,Pampers,0.785177289048474,-0.004743575925290511,0.6935700237026577,-0.004743575925290511,0.23383932623934642,0.0091819734850547
FABRIC ENHANCER,Downy,0.7439165461681471,0.006266337971349789,0.7501514495889225,0.006266337971349789,0.06728688879273043,-0.06871395036544137
FEMALE DEVICE IPL,Braun,0.722673031026253,0.003794243067746894,,,,
FEMININE CARE,Whisper,0.9120913253706491,0.003794243067746894,0.9014538067644609,0.003794243067746894,0.09116950469468185,-0.0009401896376895896
FEMININE CARE,舒隐,0.9120913253706491,-0.00035967298990324803,0.9014538067644609,0.003794243067746894,0.09116950469468185,-0.0009401896376895896
HAIR CARE,AUSSIE,0.7577619960013329,-0.00035967298990324803,0.6819361961450291,-0.00035967298990324803,0.1375270519836996,0.0046771843219982345
HAIR CARE,Clairol,0.7577619960013329,-0.00035967298990324803,0.6819361961450291,-0.00035967298990324803,0.1375270519836996,0.0046771843219982345
HAIR CARE,HAIR RECIPE,0.7577619960013329,-0.00035967298990324803,0.6819361961450291,-0.00035967298990324803,0.1375270519836996,0.0046771843219982345
HAIR CARE,Head&Shoulders,0.7577619960013329,-0.00035967298990324803,0.6819361961450291,-0.00035967298990324803,0.1375270519836996,0.0046771843219982345
HAIR CARE,Pantene,0.7577619960013329,-0.00035967298990324803,0.6819361961450291,-0.00035967298990324803,0.1375270519836996,0.0046771843219982345
HAIR CARE,Rejoice,0.7577619960013329,-0.00035967298990324803,0.6819361961450291,-0.00035967298990324803,0.1375270519836996,0.0046771843219982345
HAIR CARE,VS,0.7577619960013329,0.019488400409172435,0.6819361961450291,-0.00035967298990324803,0.1375270519836996,0.0046771843219982345
LAUNDRY DETERGENT,Ariel,0.7946502186869362,0.019488400409172435,0.7563053328685954,0.019488400409172435,0.0772673405367724,-0.011387492895433518
LAUNDRY DETERGENT,Bold,0.7946502186869362,0.019488400409172435,0.7563053328685954,0.019488400409172435,0.0772673405367724,-0.011387492895433518
LAUNDRY DETERGENT,Downy,0.7946502186869362,0.019488400409172435,0.7563053328685954,0.019488400409172435,0.0772673405367724,-0.011387492895433518
LAUNDRY DETERGENT,SARASA,0.7946502186869362,0.019488400409172435,0.7563053328685954,0.019488400409172435,0.0772673405367724,-0.011387492895433518
LAUNDRY DETERGENT,Tide,0.7946502186869362,-0.03311324609790689,0.7563053328685954,0.019488400409172435,0.0772673405367724,-0.011387492895433518
ORAL CARE,Crest,0.8218499820939662,-0.03311324609790689,0.6987341408806476,-0.03311324609790689,0.09201638058059207,0.009329871975841203
ORAL CARE,Oral B,0.8218499820939662,0.0015818043996178588,0.6987341408806476,-0.03311324609790689,0.09201638058059207,0.009329871975841203
PERSONAL CARE,Olay,0.8459487461987217,0.0015818043996178588,0.7694335801089538,0.0015818043996178588,0.06266005494249662,-0.006876191321020228
PERSONAL CARE,Old Spice,0.8459487461987217,0.0015818043996178588,0.7694335801089538,0.0015818043996178588,0.06266005494249662,-0.006876191321020228
PERSONAL CARE,Safeguard,0.8459487461987217,-0.027753527094164787,0.7694335801089538,0.0015818043996178588,0.06266005494249662,-0.006876191321020228
POWER BRUSH,Braun,0.7036904306829765,-0.027753527094164787,0.6279670490682353,-0.027753527094164787,0.1445564756829504,0.011379762300705809
POWER BRUSH,Crest,0.7036904306829765,-0.027753527094164787,0.6279670490682353,-0.027753527094164787,0.1445564756829504,0.011379762300705809
POWER BRUSH,Oral B,0.7036904306829765,-0.04902126274986318,0.6279670490682353,-0.027753527094164787,0.1445564756829504,0.011379762300705809
SHAVE CARE,Gillette,0.912435561930007,-0.08599208539980463,0.7421093148575828,-0.04902126274986318,0.23556581986143188,0.03627756363367385
SKIN CARE,Olay,0.5899360086279001,-0.08599208539980463,0.5284267534998291,-0.08599208539980463,0.15274186677239615,-0.006059238277163453
SKIN CARE,SKII,0.5899360086279001,-0.08599208539980463,0.5284267534998291,-0.08599208539980463,0.15274186677239615,-0.006059238277163453
SKIN CARE,东方季道,0.5899360086279001,0.04065904244885399,0.5284267534998291,-0.08599208539980463,0.15274186677239615,-0.006059238277163453
TAMPON,Tampax,0.8535566158355943,,0.827140549273021,0.04065904244885399,0.1534112091462657,-0.035609375172001856
